x,y,df_original,lacunarity
79.27,23.11,1.0,74.0873
254.26,27.94,1.0667,414.2497
797.22,9.54,1.0,1705.1849
7.56,30.74,1.0402,845.425
109.52,23.04,1.0309,68.3293
146.58,22.56,1.0563,695.6827
15.78,68.69,1.1614,84.264
796.95,95.83,1.0,79.9142
38.85,111.67,1.053,63.379
330.05,99.8,1.2208,144.5558
270.06,110.81,1.0,1235.7778
115.96,119.31,1.0,802.5508
783.54,179.84,1.0,292.8663
493.97,211.54,1.0,292.836
42.56,180.79,1.167,58.9177
185.25,173.78,1.0331,233.1194
175.02,186.04,1.1143,316.8923
210.28,247.25,1.0,163.555
97.69,201.44,1.0677,342.3998
318.7,248.96,1.0,1055.4467
149.72,244.28,1.0,371.2697
682.53,240.98,1.106,219.9137
205.16,322.1,1.2208,147.8456
460.29,292.4,1.0,159.5215
278.55,297.41,1.0495,129.0967
255.54,320.28,1.0,766.4699
154.6,360.37,1.0862,569.3712
367.87,357.56,1.0553,120.3194
746.67,395.34,1.0,73.1489
387.74,403.42,1.1309,49.0689
13.25,435.2,1.0,934.9483
702.35,444.58,1.2032,82.3105
489.58,470.66,1.0,104.0415
633.23,470.07,1.0,949.4775
586.76,465.75,1.0952,118.354
351.61,486.86,1.1637,134.2518
731.78,494.27,1.0675,706.8474
665.61,513.27,1.0,685.9826
325.3,519.45,1.0653,376.8464
517.59,520.81,1.1346,202.2216
208.28,537.35,1.2142,50.1858
487.35,528.43,1.0464,236.1174
31.97,535.21,1.0208,607.6745
159.76,551.56,1.0396,53.2239
299.37,565.65,1.1159,634.1866
323.9,574.77,1.1599,351.9971
187.72,604.65,1.1413,174.8878
484.09,588.08,1.2585,73.8807
576.79,594.35,1.3695,69.9173
90.66,625.06,1.0008,328.6185
736.29,631.71,1.0,410.3014
16.94,635.91,1.0,373.5011
296.66,635.43,1.0148,201.4905
311.77,630.5,1.1497,81.4864
355.03,648.82,1.0182,97.5163
261.58,644.09,1.0,147.9573
450.02,655.97,1.0,1601.9124
