x,y,df_original,lacunarity
329.77,5.03,1.0,1132.2868
583.91,17.74,1.2114,117.9516
947.81,34.06,1.2101,210.3738
481.11,30.31,1.0664,173.9234
905.94,43.84,1.1381,147.5918
5.9,60.57,1.1473,567.1887
550.07,77.58,1.1132,111.6932
176.47,64.65,1.0,1459.3576
218.22,84.7,1.0,2158.506
648.92,159.78,1.0286,658.8055
784.3,175.22,1.0,122.9208
757.83,190.5,1.116,132.5852
5.14,202.89,1.0,1756.1207
744.31,235.67,1.0,104.8033
59.97,228.77,1.0,1547.7199
399.67,237.51,1.0,87.5639
118.06,300.16,1.0,732.6374
231.71,280.98,1.0801,784.9193
330.08,292.55,1.0589,942.7977
625.22,276.29,1.0,1683.0536
306.72,297.06,1.0,3650.8443
741.63,348.93,1.1868,229.6556
381.71,365.84,1.0,284.8292
674.88,380.41,1.057,316.7676
67.92,387.38,1.0,1052.5815
755.34,417.98,1.0,372.5377
568.38,395.97,1.0789,106.7859
343.36,425.01,1.049,103.2431
3.71,439.61,1.0,2940.6291
825.65,446.28,1.2781,147.6892
271.5,460.22,1.0604,881.3671
542.88,438.81,1.0,1115.7163
299.71,448.17,1.1498,106.5807
776.55,458.73,1.2094,105.76
679.02,448.41,1.2017,99.0915
8.52,489.88,1.0,1525.775
566.0,493.9,1.1261,425.7729
333.17,487.35,1.0999,93.3288
112.25,507.51,1.0,344.5301
633.65,494.62,1.0698,114.097
819.74,521.77,1.0,503.9712
662.28,528.05,1.0,184.1102
579.64,544.93,1.1577,519.4969
383.04,540.17,1.0,1686.843
95.1,558.38,1.0304,1355.0108
318.12,585.42,1.1918,373.6821
418.76,589.83,1.0009,1319.4548
363.44,607.88,1.0,126.6762
729.27,622.8,1.0,84.9299
882.31,629.01,1.1145,627.4729
357.56,675.75,1.0,332.8969
932.75,639.77,1.0,167.1977
625.35,682.92,1.0,669.0353
886.32,781.98,1.021,168.7745
69.06,709.15,1.1815,180.0516
762.02,751.31,1.0752,93.2771
870.86,710.19,1.1131,155.6416
652.76,723.22,1.2367,141.1763
836.49,736.23,1.0,1672.9173
468.81,769.11,1.0,135.1432
756.59,795.55,1.0,406.7742
593.01,813.23,1.043,463.2499
653.06,786.04,1.102,91.6582
537.08,838.7,1.1056,541.9125
651.76,877.12,1.0,106.5643
731.43,859.44,1.0881,94.0464
784.55,894.48,1.0,1132.1596
537.67,898.12,1.0,226.3889
494.3,887.44,1.0,222.9937
601.2,939.44,1.0,230.7683
98.89,946.17,1.0,711.4462
