x,y,df_original,lacunarity
330.61,6.38,1.0,1132.2868
582.2,23.55,1.2114,117.9516
953.48,30.06,1.2101,210.3738
480.98,33.19,1.0664,173.9234
905.99,41.45,1.1381,147.5918
10.13,62.91,1.1473,567.1887
547.71,79.8,1.1132,111.6932
177.86,67.56,1.0,1459.3576
217.89,87.49,1.0,2158.506
646.73,161.9,1.0286,658.8055
785.64,176.61,1.0,122.9208
757.91,191.98,1.116,132.5852
7.56,204.18,1.0,1756.1207
747.76,237.72,1.0,104.8033
62.59,230.11,1.0,1547.7199
399.63,239.88,1.0,87.5639
120.55,300.13,1.0,732.6374
234.61,280.59,1.0801,784.9193
332.99,291.45,1.0589,942.7977
626.73,278.84,1.0,1683.0536
308.14,294.46,1.0,3650.8443
740.54,348.68,1.1868,229.6556
383.2,363.71,1.0,284.8292
677.19,381.27,1.057,316.7676
69.72,387.12,1.0,1052.5815
758.94,419.9,1.0,372.5377
569.49,399.05,1.0789,106.7859
344.69,423.47,1.049,103.2431
5.43,437.89,1.0,2940.6291
825.79,449.86,1.2781,147.6892
273.76,457.91,1.0604,881.3671
543.8,439.01,1.0,1115.7163
303.2,447.23,1.1498,106.5807
777.05,455.65,1.2094,105.76
682.21,449.45,1.2017,99.0915
8.48,488.79,1.0,1525.775
567.47,493.31,1.1261,425.7729
332.72,487.44,1.0999,93.3288
113.34,509.15,1.0,344.5301
638.34,495.67,1.0698,114.097
818.81,521.23,1.0,503.9712
664.24,527.82,1.0,184.1102
583.19,541.69,1.1577,519.4969
383.81,539.17,1.0,1686.843
99.51,555.75,1.0304,1355.0108
316.49,579.92,1.1918,373.6821
420.23,586.74,1.0009,1319.4548
362.75,607.44,1.0,126.6762
726.96,622.01,1.0,84.9299
875.88,629.58,1.1145,627.4729
358.95,676.0,1.0,332.8969
930.39,640.22,1.0,167.1977
621.61,680.49,1.0,669.0353
882.85,782.65,1.021,168.7745
68.68,705.43,1.1815,180.0516
758.38,751.23,1.0752,93.2771
868.55,713.23,1.1131,155.6416
650.48,719.76,1.2367,141.1763
833.58,735.94,1.0,1672.9173
466.88,771.19,1.0,135.1432
755.57,795.1,1.0,406.7742
592.37,813.14,1.043,463.2499
651.69,786.35,1.102,91.6582
536.88,840.67,1.1056,541.9125
648.98,878.26,1.0,106.5643
728.77,860.76,1.0881,94.0464
782.92,895.68,1.0,1132.1596
538.72,897.02,1.0,226.3889
491.66,888.47,1.0,222.9937
599.54,938.39,1.0,230.7683
94.47,941.89,1.0,711.4462
