x,y,df_original,lacunarity
77.54,22.89,1.0,74.0873
252.5,28.66,1.0667,414.2497
799.32,18.47,1.0,1705.1849
10.43,34.45,1.0402,845.425
102.61,26.7,1.0309,68.3293
146.23,28.5,1.0563,695.6827
11.9,79.47,1.1614,84.264
790.62,99.02,1.0,79.9142
39.53,122.92,1.053,63.379
325.09,89.92,1.2208,144.5558
265.3,107.43,1.0,1235.7778
118.31,118.45,1.0,802.5508
772.88,177.33,1.0,292.8663
488.43,210.65,1.0,292.836
35.76,194.67,1.167,58.9177
186.18,174.24,1.0331,233.1194
171.39,190.92,1.1143,316.8923
210.11,244.54,1.0,163.555
92.06,207.32,1.0677,342.3998
314.28,249.14,1.0,1055.4467
146.78,242.89,1.0,371.2697
678.87,247.2,1.106,219.9137
203.43,326.92,1.2208,147.8456
457.84,291.19,1.0,159.5215
276.16,302.19,1.0495,129.0967
257.83,323.89,1.0,766.4699
155.13,359.69,1.0862,569.3712
368.96,357.89,1.0553,120.3194
740.98,398.88,1.0,73.1489
390.84,399.81,1.1309,49.0689
8.31,433.22,1.0,934.9483
700.69,438.64,1.2032,82.3105
492.21,468.34,1.0,104.0415
630.03,463.14,1.0,949.4775
586.52,461.93,1.0952,118.354
352.8,480.98,1.1637,134.2518
727.07,487.65,1.0675,706.8474
664.66,503.85,1.0,685.9826
330.02,510.42,1.0653,376.8464
524.46,514.12,1.1346,202.2216
208.07,531.58,1.2142,50.1858
488.12,524.72,1.0464,236.1174
34.91,537.57,1.0208,607.6745
164.61,555.03,1.0396,53.2239
304.3,553.33,1.1159,634.1866
334.58,569.71,1.1599,351.9971
193.77,604.09,1.1413,174.8878
497.55,581.26,1.2585,73.8807
580.74,573.45,1.3695,69.9173
94.21,628.74,1.0008,328.6185
744.01,630.1,1.0,410.3014
24.93,643.08,1.0,373.5011
306.9,634.11,1.0148,201.4905
317.68,621.92,1.1497,81.4864
357.96,645.41,1.0182,97.5163
269.53,644.69,1.0,147.9573
458.42,650.89,1.0,1601.9124
