x,y,df_original,lacunarity
81.61,20.83,1.0,74.0873
251.92,35.21,1.0667,414.2497
794.18,13.14,1.0,1705.1849
8.45,25.93,1.0402,845.425
103.62,21.16,1.0309,68.3293
149.56,25.3,1.0563,695.6827
11.66,70.17,1.1614,84.264
790.89,100.45,1.0,79.9142
37.14,104.78,1.053,63.379
331.3,102.23,1.2208,144.5558
265.8,110.86,1.0,1235.7778
115.65,120.62,1.0,802.5508
774.3,178.51,1.0,292.8663
494.34,213.93,1.0,292.836
33.86,185.92,1.167,58.9177
185.73,174.7,1.0331,233.1194
178.95,192.6,1.1143,316.8923
208.62,245.79,1.0,163.555
91.12,201.09,1.0677,342.3998
316.99,251.78,1.0,1055.4467
147.09,244.77,1.0,371.2697
680.77,248.08,1.106,219.9137
203.71,319.98,1.2208,147.8456
455.98,292.0,1.0,159.5215
276.75,302.64,1.0495,129.0967
256.67,324.74,1.0,766.4699
149.78,358.39,1.0862,569.3712
370.32,362.75,1.0553,120.3194
746.95,392.81,1.0,73.1489
385.12,403.74,1.1309,49.0689
12.74,430.93,1.0,934.9483
700.04,430.35,1.2032,82.3105
491.34,473.07,1.0,104.0415
633.65,464.6,1.0,949.4775
581.62,465.4,1.0952,118.354
350.07,484.95,1.1637,134.2518
724.96,485.64,1.0675,706.8474
667.97,507.91,1.0,685.9826
326.3,512.26,1.0653,376.8464
519.39,515.74,1.1346,202.2216
204.75,534.88,1.2142,50.1858
481.16,524.91,1.0464,236.1174
38.96,539.51,1.0208,607.6745
173.87,548.55,1.0396,53.2239
296.58,563.46,1.1159,634.1866
333.29,568.56,1.1599,351.9971
201.34,600.38,1.1413,174.8878
483.27,579.79,1.2585,73.8807
586.85,578.5,1.3695,69.9173
100.87,625.56,1.0008,328.6185
745.13,628.44,1.0,410.3014
25.28,636.43,1.0,373.5011
310.36,639.92,1.0148,201.4905
320.91,627.2,1.1497,81.4864
367.18,655.21,1.0182,97.5163
270.2,646.13,1.0,147.9573
458.27,650.04,1.0,1601.9124
