x,y,df_original,lacunarity
81.67,16.27,1.0,74.0873
252.64,24.8,1.0667,414.2497
794.66,13.48,1.0,1705.1849
2.6,21.77,1.0402,845.425
107.35,15.63,1.0309,68.3293
148.22,17.76,1.0563,695.6827
1.39,72.07,1.1614,84.264
795.55,101.86,1.0,79.9142
34.48,107.73,1.053,63.379
334.28,91.94,1.2208,144.5558
267.81,106.12,1.0,1235.7778
110.29,116.81,1.0,802.5508
781.75,180.31,1.0,292.8663
493.09,215.51,1.0,292.836
29.09,186.27,1.167,58.9177
179.89,169.52,1.0331,233.1194
170.09,181.55,1.1143,316.8923
208.98,242.09,1.0,163.555
84.25,192.59,1.0677,342.3998
320.01,248.45,1.0,1055.4467
147.27,239.0,1.0,371.2697
688.9,246.95,1.106,219.9137
196.61,314.46,1.2208,147.8456
460.13,293.56,1.0,159.5215
273.17,303.45,1.0495,129.0967
251.87,319.82,1.0,766.4699
148.8,352.51,1.0862,569.3712
365.81,364.76,1.0553,120.3194
749.68,396.31,1.0,73.1489
386.26,407.12,1.1309,49.0689
14.23,430.16,1.0,934.9483
702.79,443.82,1.2032,82.3105
491.97,478.94,1.0,104.0415
631.46,476.44,1.0,949.4775
586.54,462.89,1.0952,118.354
347.51,482.4,1.1637,134.2518
731.34,493.82,1.0675,706.8474
665.97,511.26,1.0,685.9826
328.67,512.17,1.0653,376.8464
520.37,523.33,1.1346,202.2216
208.38,531.64,1.2142,50.1858
486.16,531.3,1.0464,236.1174
31.12,533.62,1.0208,607.6745
160.41,546.82,1.0396,53.2239
305.25,555.49,1.1159,634.1866
333.12,569.63,1.1599,351.9971
195.01,605.17,1.1413,174.8878
490.67,587.41,1.2585,73.8807
580.9,586.84,1.3695,69.9173
90.75,625.15,1.0008,328.6185
736.42,634.58,1.0,410.3014
19.88,641.79,1.0,373.5011
310.27,638.75,1.0148,201.4905
320.73,618.85,1.1497,81.4864
363.02,648.2,1.0182,97.5163
271.04,644.78,1.0,147.9573
454.83,656.27,1.0,1601.9124
