x,y,df_original,lacunarity
78.34,14.49,1.0,74.0873
248.42,25.95,1.0667,414.2497
794.95,13.31,1.0,1705.1849
7.35,20.39,1.0402,845.425
105.08,18.36,1.0309,68.3293
148.82,22.14,1.0563,695.6827
10.98,56.64,1.1614,84.264
788.1,96.67,1.0,79.9142
45.79,101.43,1.053,63.379
330.62,90.94,1.2208,144.5558
266.6,106.02,1.0,1235.7778
113.93,112.34,1.0,802.5508
775.34,177.88,1.0,292.8663
495.68,211.75,1.0,292.836
40.25,180.82,1.167,58.9177
181.56,170.13,1.0331,233.1194
170.17,182.36,1.1143,316.8923
213.62,246.54,1.0,163.555
92.65,195.01,1.0677,342.3998
315.61,248.49,1.0,1055.4467
151.85,240.24,1.0,371.2697
682.77,246.94,1.106,219.9137
201.43,319.76,1.2208,147.8456
458.13,288.5,1.0,159.5215
279.32,302.67,1.0495,129.0967
253.88,321.72,1.0,766.4699
157.01,356.54,1.0862,569.3712
370.59,359.7,1.0553,120.3194
748.62,398.74,1.0,73.1489
390.43,400.56,1.1309,49.0689
13.86,429.09,1.0,934.9483
703.62,438.14,1.2032,82.3105
491.5,473.74,1.0,104.0415
627.16,466.39,1.0,949.4775
584.57,469.15,1.0952,118.354
351.1,488.09,1.1637,134.2518
721.24,500.28,1.0675,706.8474
666.39,511.29,1.0,685.9826
327.44,517.84,1.0653,376.8464
517.38,520.56,1.1346,202.2216
199.97,544.14,1.2142,50.1858
488.88,532.43,1.0464,236.1174
36.06,538.51,1.0208,607.6745
164.04,558.29,1.0396,53.2239
298.59,568.63,1.1159,634.1866
331.79,581.92,1.1599,351.9971
195.0,608.27,1.1413,174.8878
494.26,588.89,1.2585,73.8807
584.07,588.31,1.3695,69.9173
92.12,628.35,1.0008,328.6185
740.6,632.65,1.0,410.3014
25.74,641.88,1.0,373.5011
303.06,640.98,1.0148,201.4905
316.14,626.07,1.1497,81.4864
355.23,656.24,1.0182,97.5163
266.87,648.6,1.0,147.9573
456.25,656.01,1.0,1601.9124
