x,y,df_original,lacunarity
76.02,17.72,1.0,74.0873
258.62,21.52,1.0667,414.2497
796.56,11.81,1.0,1705.1849
0.0,23.94,1.0402,845.425
105.55,14.24,1.0309,68.3293
147.72,19.1,1.0563,695.6827
2.18,69.05,1.1614,84.264
792.52,94.47,1.0,79.9142
39.66,105.64,1.053,63.379
333.48,88.54,1.2208,144.5558
266.17,104.87,1.0,1235.7778
118.23,111.61,1.0,802.5508
776.3,175.28,1.0,292.8663
489.71,213.57,1.0,292.836
28.3,181.65,1.167,58.9177
181.25,174.94,1.0331,233.1194
172.57,188.3,1.1143,316.8923
209.91,240.71,1.0,163.555
85.79,206.54,1.0677,342.3998
315.66,249.82,1.0,1055.4467
145.29,238.18,1.0,371.2697
681.59,245.04,1.106,219.9137
196.06,315.14,1.2208,147.8456
458.37,290.15,1.0,159.5215
273.85,296.89,1.0495,129.0967
257.18,319.2,1.0,766.4699
154.09,363.94,1.0862,569.3712
365.43,358.73,1.0553,120.3194
750.33,396.3,1.0,73.1489
386.49,405.69,1.1309,49.0689
10.09,431.46,1.0,934.9483
706.45,433.52,1.2032,82.3105
494.06,475.35,1.0,104.0415
636.27,464.98,1.0,949.4775
586.76,465.71,1.0952,118.354
349.26,486.17,1.1637,134.2518
730.26,493.19,1.0675,706.8474
670.86,509.64,1.0,685.9826
321.25,519.5,1.0653,376.8464
523.06,519.48,1.1346,202.2216
201.41,540.9,1.2142,50.1858
493.27,534.61,1.0464,236.1174
33.19,541.69,1.0208,607.6745
169.15,568.01,1.0396,53.2239
295.22,567.28,1.1159,634.1866
329.25,577.15,1.1599,351.9971
190.86,612.47,1.1413,174.8878
496.77,598.15,1.2585,73.8807
580.18,587.57,1.3695,69.9173
96.61,630.17,1.0008,328.6185
749.19,630.56,1.0,410.3014
23.19,641.52,1.0,373.5011
301.72,642.94,1.0148,201.4905
318.14,628.01,1.1497,81.4864
362.59,654.49,1.0182,97.5163
268.71,648.98,1.0,147.9573
454.78,656.15,1.0,1601.9124
