x,y,df_original,lacunarity
77.02,20.3,1.0,74.0873
250.35,32.07,1.0667,414.2497
797.39,12.8,1.0,1705.1849
3.18,25.47,1.0402,845.425
103.87,24.68,1.0309,68.3293
144.87,28.43,1.0563,695.6827
6.16,75.23,1.1614,84.264
795.04,95.69,1.0,79.9142
35.7,110.97,1.053,63.379
327.62,97.21,1.2208,144.5558
264.8,110.37,1.0,1235.7778
113.56,114.79,1.0,802.5508
783.49,178.37,1.0,292.8663
492.95,212.98,1.0,292.836
31.69,182.69,1.167,58.9177
180.82,177.02,1.0331,233.1194
171.64,191.67,1.1143,316.8923
205.74,244.35,1.0,163.555
89.63,203.15,1.0677,342.3998
315.97,248.32,1.0,1055.4467
147.3,241.33,1.0,371.2697
684.9,243.4,1.106,219.9137
192.38,315.71,1.2208,147.8456
460.22,291.04,1.0,159.5215
273.21,299.55,1.0495,129.0967
249.89,322.6,1.0,766.4699
144.41,358.08,1.0862,569.3712
363.38,359.4,1.0553,120.3194
747.7,389.54,1.0,73.1489
388.78,395.92,1.1309,49.0689
11.7,435.05,1.0,934.9483
712.77,432.83,1.2032,82.3105
492.65,470.08,1.0,104.0415
635.61,469.29,1.0,949.4775
593.63,465.25,1.0952,118.354
346.99,480.43,1.1637,134.2518
739.88,487.87,1.0675,706.8474
670.37,505.04,1.0,685.9826
328.61,515.34,1.0653,376.8464
522.64,512.94,1.1346,202.2216
199.66,537.41,1.2142,50.1858
487.0,519.33,1.0464,236.1174
36.07,540.82,1.0208,607.6745
159.71,552.78,1.0396,53.2239
303.67,557.85,1.1159,634.1866
333.71,572.32,1.1599,351.9971
191.8,599.98,1.1413,174.8878
499.55,579.18,1.2585,73.8807
589.54,576.0,1.3695,69.9173
93.53,628.65,1.0008,328.6185
744.1,631.29,1.0,410.3014
24.02,643.24,1.0,373.5011
299.78,636.88,1.0148,201.4905
318.13,621.78,1.1497,81.4864
357.82,650.4,1.0182,97.5163
267.13,644.83,1.0,147.9573
458.41,655.31,1.0,1601.9124
